رمز الفئة,اسم المصنع,العنوان,رقم التواصل,البريد الالكتروني
18567013,مصنع متانه الصناعة للاثاث,"4530، السعادة، الخرج 16443 945",449522006,matinh15@hotmail.com
18567013,مصنع خلدون للأثاث المعدني,"7263، المدينة الصناعية الجديدة",114981008,ahmed.ali@khaldon.com.sa
18567013,شركة بيت التجهيزات العصري للصناعه,"2433 ايوب بن اسحاق، الصناعية ا",114489008,waleed@mf-factory.com
18567013,المصنع العربي للمفروشات,الرياض - الصناعية الاولى,448448006,null
18567013,مصنع محمد هباس المطيري للاثاث والستائر,"4946, المدينة الصناعية الثانية",381218007,mhm@thegallery.com.sa
18567013,شركة ستيلكيس الجريسي المحدودة,"4273، المدينة الصناعية الجديدة",265003006,msaadi@steelcasejeraisy.com
18567013,مصنع الجريسي للاثاث,"9533، المدينة الصناعية الجديدة",498422006,mabdelrahman@jgroup.com.sa
18567013,فرع مصنع خلدون للأثاث المعدني,"7177، المدينة الصناعية الجديدة",49813006,null
18567013,مصنع الديار العالمية للأثاث,"7429 المنصورية، المصانع، الريا",14388007,aldiar2011@yahoo.com
18567013,مصنع شركة الفلك المتحدة لاعمال الديكور,"Unnamed Road, جدة 22754، السعو",682368006,abdullahmushabab@alsaad.com.sa
18567013,فرع مصنع الجديد العالمي,المدينة الصناعية بالدمام,138152008,arbab666@yahoo.com
18567013,شركة مصنع محمد البسام وشركاه لصناعة الأثاث,"7505، المناخ، الرياض 14316 240",112912008,albassamfactory@hotmail.com
18567013,شركة مصنع الرياض للأثاث,الرياض,114981008,info@athath.com
18567013,شركة بكر محمد محمود لزخرفة المعادن,Unnamed Road السعودية,423461006,null
18567013,مصنع سبأ للديكور,"شارع 3، التعاون، الخبر 34644، ",138029008,sabadecorationfactory@hotmail.com
18567013,مصنع دنيا الابواب للمصنوعات الخشبية,الرياض السلي شارع عبدالرحمن بن اسماعيل,24412006,a920022221@yahoo.com
18567013,شركة مصنع محمد زيد القناص وشريكه للاثاث المعدني المحدودة,null,0,alqannashadeed@yahoo.com
18567013,مصنع خالد حسين مهرالدين للاثاث الخشبي,null,0,null
18567013,مصنع جازاء حمد الدوسري للأثاث الخشبي,الخرج,551091006,eaaa20_30@yahoo.com
18567013,مصنع دار الأثاث الخشبي والمعدني لصاحبة محمد راشد محمد الهويمل,"8387، السلي، الرياض 14273 2704",147137007,m.m.mehrez@gmail.com
18567013,شركة تجهيز الوطنية,"Unnamed Road, الرياض 14327، ال",0,gm@fee.com.sa
18567013,مصنع لؤلؤة أفنان للحدادة والألمنيوم,"3801، الخضرية، الدمام 32435 73",838265006,laf_ksa@yahoo.com
18567013,شركة مدينة الاصاله للتطوير الصناعي,المدينة الصناعية الجديدة,0,null
18567013,مصنع نمر العرب للاثاث المعدني وتشكيل المعادن,"3983 جبل الجزيرة، بدر، الرياض ",430711006,n_alotypy@yahoo.com
18567013,مصنع عبدالله محمد الحديثي للأثاث الخشبي,"4716، المدينة الصناعية الجديدة",112653008,Hossams@alhudaithifurniture.com
18567013,مصنع رائد النجاح لانتاج الاثاث المكتبي والمدرسي,"شارع 73، المدينة الصناعية بالخ",114533008,islama873@yahoo.com
18567013,مصنع عتيق احمد قريشى لآعمال الديكورات الخشبية,"Unnamed Road, جدة 22754، السعو",122891008,attique.kra@gmail.com
18567012,مصنع اتمتة للصناعة,"الشارع الأول، المدينة الصناعية الثانية - جدة - المملكة العربية السعودية",126141008,Fahad@atmata.sa
18567012,مصنع ميلانو الدولية للمطابخ,"2925 طريق الملك عبدالعزيز، الر",383781007,vip90267@yahoo.com
18567012,شركة محمود يوسف عضاضة وعصام قباني وشركاهما المحدودة,"9417, البحيرات، مكة 24227، الس",555509008,a.hussein@adada-kabbani.com
18567012,شركة مصنع فادن للمنتجات الخشبية المحدودة,"8289، المدينة الصناعية الجديدة",0,somebody@mail.com
18567012,شركة روائع الأثاث للديكور,"Unnamed Road, جدة 22764، 22764",0,null
18567012,شركة مصنع محمد عبدالرحمن العريني للمشغولات المعدنية,الرياض -السلي ,270111006,zbadi2009@hotmail.com
18567012,مصنع جنيفا للصناعة,"4347 خالد بن الوليد، الطائف 26",0,abd1000hm@gmail.com
18567012,شركة مصنع محمد زيد القناص وشريكه للاثاث المعدني المحدودة,null,0,alqannashadeed@yahoo.com
18567012,شركة الرياض للصناعات المعدنية,"4592، المدينة الصناعية الجديدة",498071006,amer@rico-sa.com
18567012,مصنع صالح وحمد الراجحي للمفروشات المعدنية والألمنيوم,"7578، المدينة الصناعية الجديدة",498132006,sh.alrajhi@yahoo.com
18567012,مصنع حلول المطابخ والخزائن,"7609، مدينة العيون، الهفوف وال",5816006,zina.decor@yahoo.com
18567012,الشركة العالمية للأثاث والمستلزمات الطبية,"4653، المدينة الصناعية الجديدة",568201008,abdulrahmanbanafae@gmail.com
18567012,شركة مصنع الوطن المحدودة,الرياض / المنطقة الصناعية الاولى بالرياض / قرب الميناء الجاف,448007006,maher_salem1963@hotmail.com
18567012,مصنع هاشم محمد العيدروس للألمنيوم والخشب,مكة المكرمة /  طريق مكة - جدة السريع ,253345007,hassanahmad70@gmail.com
18567012,مصنع التاج الساطع للصناعات المعدنية,"6402 خيبر، السلي، الرياض 14264",471383006,null
18567012,مصنع جاما للصناعات المعدنيه,"6296، النور، الرياض 14321 4097",112429008,Jamal.alwhaidi@gmail.com
18567012,شركة مصنع عطية للصناعات المعدنية,جدة - الخمرة-مستودعات الغرفه التجارية,126877008,a.alsairi@attiehgroup.com
18567012,مصنع شركة المناشي للأبواب الحديدية و الخشبية,الرياض,122225007,khalil@almanashy.com
