,Product ID,Product Title,Product Description,Donor Partner,Language,Category,Media,Platform,Admin Fee ($),Product URL
0,G-50790,Acrobat Pro 2020 for Windows (English),"Description
Adobe Acrobat Pro 2020 is publishing software for viewing, creating, combining, and controlling Adobe PDF documents for distribution, collaboration, and data collection.
This donation provides a license that allows a single user to install and use the software. The license key provided with this product will expire on December 1, 2026. See below for additional licensing information.
Benefits for Organizations
You can use Acrobat Pro to:
Create and publish outreach materials or professional reports that combine multiple types of content
Save paper and money by creating and distributing electronic documents and forms
Ensure document accessibility for people with disabilities
Major Capabilities
Convert or scan to PDF: You can create Adobe PDF documents from any application that prints, including Microsoft Office software, web browsers like Chrome and Firefox, and Lotus Notes. PDFs can also be created from scanned paper documents and forms.
Combine and compare files: You can combine a range of file types into a single PDF document or place them into a single portfolio. Documents and portfolios can include multimedia content, including FLV or H.264 video and web pages. You can also compare two version of a PDF document to detect any differences.
Protect PDF files and documents: You can apply document controls and security with password protection; permissions for printing, copying, and changing; and digital signatures. You can also permanently remove concealed information and use redaction tools to permanently delete sensitive content.
Collect data with fillable PDF forms: You can create fillable forms from scanned paper, PDF documents, Microsoft Word documents, or Excel spreadsheets. Filled-out forms can be collected into a searchable, sortable, PDF package, and their data can be exported into a spreadsheet.
Perform collaborative document reviews: Multiple participants can conduct collaborative document reviews that allow reviewers to see one another's comments. Users of the free Acrobat Reader, as well as Acrobat Pro, can add comments to documents.
Export PDF files: You can save entire PDF files or just selected portions of them as Microsoft Word, PowerPoint, or Excel documents, retaining layout, fonts, formatting, and tables.
Licensing
If you're the licensed user, you may also install and use the software on a secondary computer. The secondary computer may be a home computer or portable computer and must be of the same platform. You may not run the software simultaneously on both the primary and secondary computers.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When your donation request has been approved, TechSoup Canada will send a message to your organization email address with instructions for obtaining and activating this product.",Adobe,English,"Desktop Publishing, Office Suite",Download,Windows,82.0,https://www.techsoup.ca/content/acrobat-pro-2020-windows-english
1,G-49669,Adobe Creative All Apps Plan Individual Membership — Access to Discounted Rates,"Description
Adobe Creative Cloud is a collection of creative design desktop applications, mobile apps, and services for designing, developing, and publishing graphical, video, audio, and interactive content for print, the web, and mobile devices.
This offer provides access to discounted rates for a Creative Cloud Complete plan individual membership for one user. You'll receive 60 percent off Adobe's regular rates for the first year and 40 percent off every year after. 
Important information: After you request the access to a discounted rate on Adobe Creative Cloud through TechSoup Canada for, you'll pay CA$311.88 for the first year to Adobe directly for the discounted membership. See the Details and Service Costs section below for more information.
Benefits for Organizations
If you have experience with image editing, audio and video editing, graphic design, or web design, you can use Creative Cloud to
Tell your story with digital images, vector graphics, audio, and high-definition video
Create and publish printed outreach materials
Design, develop, and host a website for your organization
Keep your creative software up-to-date with upgrades included in the membership
Applications Included
The Complete plan includes full versions of all desktop applications listed below for Windows and Mac.
Adobe Photoshop CC is a graphics editing program for 2D, 3D, and motion graphics. In addition to its array of features for graphic designers, Photoshop CC offers measurement and analysis tools built with scientists and engineers in mind.
Adobe Photoshop Lightroom CC is a photo processor and image organizer for viewing, optimizing, and retouching images.
Adobe Illustrator CC is a vector-based drawing tool built for professional artists and designers.
Adobe InDesign CC is a page layout program built for professional print designers to create rich, complex documents. InDesign content can be exported in a variety of formats, so you can publish the same documents across print and electronic media.
Adobe Premiere Pro CC is a timeline-based video editing program with editing support for multiple high-definition video formats.
Adobe After Effects CC is a postproduction tool for creating and editing motion graphics and visual effects in film and video.
Adobe Audition CC is digital audio software for recording and editing audio files in a multitrack, nondestructive environment.
Adobe Dreamweaver CC is a professional development tool for designing, coding, developing, and publishing web pages and web-based applications.
Creative Cloud also includes other applications like Adobe Spark and Adobe Acrobat DC. The full list of applications and services included is available on the Adobe website.
Support
Adobe provides phone support, online chat, forums, and tutorials as part of the Complete plan.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When TechSoup Canada approves your donation request, we will send a message to your organization email address with instructions for obtaining and activating this product.",Adobe Cloud,"English, French","Multimedia and Design, Audio and Video, Desktop Publishing",Online,"Windows, Mac",7.0,https://www.techsoup.ca/content/adobe-creative-all-apps-plan-individual-membership-%E2%80%94-access-discounted-rates
2,G-53173,CloudCare Managed Antivirus – 1-Year Subscription,"Description
CloudCare Managed Antivirus is a cloud-based service that protects networked laptops, desktops, and servers (""endpoints"") against viruses, spyware, and other online threats. In addition to protecting endpoints, it also allows administrators to monitor and manage endpoint status and resource usage. It consists of client software that runs on the endpoints and a cloud-based management service.
This offer provides a subscription for use of the product on one device. The subscription includes protection updates and new product features. See the Subscription Details section below for more information.
Benefits for Organizations
You can use CloudCare Managed Antivirus to
Protect your organization's data from viruses, spyware, malware, and other threats
Reduce system administration costs by keeping your computers running smoothly
Prevent uninvited connections to computers and other devices so attackers can't steal information, install and launch programs, or make other dangerous changes to your organization's computers
Major Capabilities
Dashboard: Deploy, configure, and manage antivirus protection from a centralized dashboard for complete visibility across all managed devices, whether they are onsite or remote.
Reports: Stay on top of your security with in-depth reports that include threats blocked, devices without antivirus, and devices with overdue virus scans.
Configuration: Apply standard or customized service plans to workstations and servers for enhanced control.
See a complete list of features for CloudCare Managed Antivirus.
Support
This product includes support and updated antivirus definition updates for the duration of your subscription.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
Expect two emails. When TechSoup Canada approves your request, we will send a message to your organization email address with preliminary information about obtaining this product. Shortly after, our partner will send an email with information needed to complete the installation or activation.
Subscription Details
System Requirements
This product is for Windows and Mac devices, but the Mac software has fewer features. The Mac software includes only File Shield, Web Shield, and Mail Shield, and it does not support the remote tools included in CloudCare. It also requires macOS 10.10 (Yosemite) or later and at least 500 MB of disk space.
See CloudCare Managed Antivirus system requirements and product datasheet for more information.
Managed Antivirus cannot run alongside other antivirus programs. In order to use Managed Antivirus, you must first uninstall them.
Existing Subscribers You will not be able to convert your existing Avast subscription to the offer from TechSoup Canada. Instead, you will need to cancel your existing Avast subscription and order your license through TechSoup Canada to setup a new Avast account.
Subscription Period
TechSoup Canada will send you reminders before your subscription is set to expire.
If you signed up for automatic payments, your subscription will automatically renew. You will be billed an amount equal to the admin fee to renew.
If you don't want your subscription to renew automatically, you should request to cancel your subscription before the renewal date. Your cancellation will take effect at the end of your current subscription period.
Additional Licenses If you already have an Avast subscription for this product through TechSoup Canada, you can add licenses through this offer. The cost of the additional licenses will be prorated, and your subscription period will not change.
Managing Multiple Organizations If you are an IT consultant who manages security on behalf of multiple organizations, please contact customerservice@techsoup.ca to discuss your needs prior to placing your request.
Additional Information
If you would like more information about this offer, please contact customerservice@techsoup.ca.
Please note that if you have engaged with a sales representative from Avast or an Avast reseller in the past six months, you might not be eligible for this offer.",Avast Business,English,"Server & Security Software, Data Security and Privacy, Server and Network Management, Spam and Virus Protection",,,,https://www.techsoup.ca/content/cloudcare-managed-antivirus-%E2%80%93-1-year-subscription
3,L-56943,Windows Pro Full Operating System – No Software Assurance,"Description
Windows Pro full operating system is the full version of Microsoft's desktop operating system. It can be installed on a computer that does not have a licensed installation of a previous Windows operating system.
This donation provides a full Windows Pro operating system license. You should request one license for each computer on which you will install it. See the Product Use Rights Summary for Desktop Operating Systems for specific licensing details.
If your organization operates a computer lab and you need more than 50 licenses, you can request an additional 50 additional licenses for Windows Pro Full Operating System.
Which Version of This Software Is Available?
You can find out which version of this software is available on the Current Versions of Microsoft Products page. In addition, you can download the software in any language that's available.
Benefits for Organizations
You can use Windows Pro to
Protect your organization's data
Provide mobile workers with access to your organizational network without the need for VPN
Major Capabilities
Remote Desktop: Users can unlock and access their machines virtually from any Internet-connected device.
Multifactor authentication: You can secure your organization's devices with multifactor authentication via phone call, text, or the Microsoft Authenticator app for mobile phones and tablets.
BitLocker drive encryption: BitLocker encrypts hard drives more quickly to protect sensitive data from being accessed by unauthorized users who come into possession of any of your organization's computers.
Read more about Windows features in TechSoup's What's New in Windows 10.
No Software Assurance
This license does not include Software Assurance. Without Software Assurance, you will not have the right to install new releases of this product. You will not be able to add Software Assurance to this type of license.
Obtaining This Product
To install this product, you'll need to access the Microsoft 365 admin center. When your request has been approved, TechSoup Canada will send a message to your organization email address with further instructions.
If you need help obtaining this product, find out how to download it.",Microsoft Donated Software,Multilingual,,Licence Only,Windows,22.0,https://www.techsoup.ca/content/windows-pro-full-operating-system-%E2%80%93-no-software-assurance
4,G-47378,Acrobat Pro 2020 for Windows (French),"Description
Adobe Acrobat Pro 2020 is publishing software for viewing, creating, combining, and controlling Adobe PDF documents for distribution, collaboration, and data collection.
This donation provides a license that allows a single user to install and use the software. The license key provided with this product will expire on December 1, 2026. See below for additional licensing information.
Benefits for Organizations
You can use Acrobat Pro to:
Create and publish outreach materials or professional reports that combine multiple types of content
Save paper and money by creating and distributing electronic documents and forms
Ensure document accessibility for people with disabilities
Major Capabilities
Convert or scan to PDF: You can create Adobe PDF documents from any application that prints, including Microsoft Office software, web browsers like Chrome and Firefox, and Lotus Notes. PDFs can also be created from scanned paper documents and forms.
Combine and compare files: You can combine a range of file types into a single PDF document or place them into a single portfolio. Documents and portfolios can include multimedia content, including FLV or H.264 video and web pages. You can also compare two version of a PDF document to detect any differences.
Protect PDF files and documents: You can apply document controls and security with password protection; permissions for printing, copying, and changing; and digital signatures. You can also permanently remove concealed information and use redaction tools to permanently delete sensitive content.
Collect data with fillable PDF forms: You can create fillable forms from scanned paper, PDF documents, Microsoft Word documents, or Excel spreadsheets. Filled-out forms can be collected into a searchable, sortable, PDF package, and their data can be exported into a spreadsheet.
Perform collaborative document reviews: Multiple participants can conduct collaborative document reviews that allow reviewers to see one another's comments. Users of the free Acrobat Reader, as well as Acrobat Pro, can add comments to documents.
Export PDF files: You can save entire PDF files or just selected portions of them as Microsoft Word, PowerPoint, or Excel documents, retaining layout, fonts, formatting, and tables.
Licensing
If you're the licensed user, you may also install and use the software on a secondary computer. The secondary computer may be a home computer or portable computer and must be of the same platform. You may not run the software simultaneously on both the primary and secondary computers.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When your donation request has been approved, TechSoup Canada will send a message to your organization email address with instructions for obtaining and activating this product.",Adobe,French,"Desktop Publishing, Office Suite",Download,Windows,82.0,https://www.techsoup.ca/content/acrobat-pro-2020-windows-french
5,G-48827,"QuickBooks Premier Canadian Edition 2021, 1 User License (Includes Nonprofit Edition)","Description
This product is out of stock. We do not have information at this time when it will be available again, or when the new version will be available.
In the meantime, multi-user versions of QuickBooks Desktop 2021 are available. Sign up for our Product Alerts to receive emails when we make updates to our catalogue.
  QuickBooks Premier 2021 is accounting software that helps organizations manage essential financial tasks like paying bills, creating invoices, producing reports, and tracking expenses, contributions, and payments. It can be installed as a general business edition or as one of five industry-specific editions, including a nonprofit edition.
This donation provides one perpetual user license for the desktop version of QuickBooks Premier 2021. The license allows the software to be installed on both a home computer and a portable computer, but the software can only be used on one computer at a time. Over a network, up to five users can work with the organization's data at the same time. Each user must have both a user license and a separate installation of the same edition and version of QuickBooks. Organizations that require more than one license can request the three-user version through TechSoup Canada.
Quantity Limit of Three Licenses per Fiscal Year
Eligible organizations may request up to three licenses per fiscal year (July 1 to June 30) by requesting three single-user licenses or by requesting the QuickBooks Premier three-user license. Please review Intuit Canada Program Guidelines for more details.
Important: Please note that you can not mix and match the version of the product acquired with TechSoup Canada. Each organization can either order up to 3 user licenses of the regular QuickBooks Premier Canadian Edition 2021 or Up to 4 user licenses of the bundle of QuickBooks Premier Canadian Edition 2021 which includes the payroll module.
Benefits for Organizations
If you install QuickBooks Premier as the Nonprofit Edition, you can access custom features to:
Create a chart of accounts that categorizes and views expenses the way the Canadian Revenue Agency requires
Draft reports that show how much money has been contributed and spent to date by donor or by grant
Plan budgets based on fundraising and expense data and comparing actual income and expenses to budgeted amounts
Use business planning and analysis tools, such as the Statement of Financial Income & Expense
Organize tax, donor, vendor, employee, and general company information in separate centers while allowing an accountant to simultaneously work on the system
Major Capabilities
Choice of editions at installation:
Nonprofit Edition
Contractor Edition
General Business Edition
Manufacturing & Wholesale Edition
Professional Services Edition
Retail Edition
Email integration: You can send invoices and estimates from Outlook or Outlook Express or from a Yahoo, Gmail, or Outlook.com account.
Data import: QuickBooks can import data from Excel, Quicken, Office Accounting, and other installations of QuickBooks 2021.
File attachments: The Document Center lets you attach and store receipts, estimates, and other documents to invoices and customer files.
Calendar View: Your invoices, billing, past transactions, and important tasks are available in daily, weekly, and monthly views.
See a full list of features on the Intuit website.
Payroll Not Compatible
The Payroll module is not included and not compatible with this donated version of Quickbooks Premier. If your organization needs Quickbooks with Payroll management features, you should order the Bundle: Quickbooks Premier with Payroll available through our catalogue.
Compatibility of QuickBooks Data with QuickBooks Versions
After you update your data to a new version of QuickBooks, you can't open it in a previous version. If you want an outside accountant to work with your data, the accountant must have an edition of QuickBooks released in the same year as yours.
Support
Free telephone customer support is not provided for this donated product, but answers to common questions are available on Intuit Canada's QuickBooks support page and the Intuit Community message boards.
Intuit Canada offers paid support plans providing 24/7 phone support. For personal support, you can search for a certified QuickBooks ProAdvisor in your area.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When your donation request has been approved, TechSoup Canada will send a message to your organization email address with instructions for obtaining and activating this product.",Intuit,English,"Finance, Accounting",Download,Windows,52.0,https://www.techsoup.ca/content/quickbooks-premier-canadian-edition-2021-1-user-license-includes-nonprofit-edition
6,G-45104,Photoshop Elements 2022 and Premiere Elements 2022 Bundle,"Description
Photoshop Elements 2022 and Premiere Elements 2022 is a product that combines two Adobe applications. Photoshop Elements is a tool for editing, retouching, optimizing, and distributing digital images. Premiere Elements is a tool for editing and publishing digital video. Together, they count as one individual product toward an organization's annual Adobe donation limit.
This donation provides one license each for Photoshop Elements 2022 and Premiere Elements 2022. Each license allows one user to install and use the application. You can install the two applications on different computers. This product can be installed in either French or English languages. The license key provided with this product will expire on November 30, 2026. See below for additional licensing information.
Benefits for Organizations
You can use these applications without prior image or video editing experience to:
Tell your organization's story by cleaning up recorded videos and publishing them online
Edit, clean up, and organize photos of volunteers and on-site events
Learn about image and video editing through the guided editing tools that take you step by step through the process
Major Capabilities
Many professional-level capabilities: The Elements applications are simpler alternatives to Photoshop and Premiere Pro that share many of the features of the larger products. Photoshop Elements does not include certain advanced Photoshop features such as the Channel Mixer, Color Balance, scripting, or CMYK coloring. Premiere Elements offers fewer templates, transitions, and effects than Premiere Pro.
Simplified organization: You can keep track of your photos and videos in a searchable organizer shared by both products that filters media by people, places, or events. Tagging media allows you to find photos or videos faster.
Image editing: Photoshop Elements can automatically detect and remove red-eye and other imperfections in a photograph. You can manually adjust colors, lighting, contrast, shadowing, highlights, and other settings to achieve desired effects. Or, you can make one-step photo adjustments by choosing the best result from a group of several different adjustment previews. You can also create composite images using elements from multiple photographs or other digital graphics.
Video editing: You can edit, drag, drop, copy, and paste clips within the editing interface. Premiere Elements can analyze your video and fix shaky footage and color and lighting problems, trim away bad footage, and balance audio elements. You can add music, narration, text, and special effects
Video importing options: You can import video from a variety of devices, including HDV camcorders, compact camcorders, web cameras, MPEG-4 video recorders, DSLR still cameras, and select mobile phones. Premiere Elements can record video from webcams, analog capture cards, and other live video sources.
Sharing options: Photoshop Elements optimizes photos for sharing via email, Facebook, YouTube, or online photo albums to ensure high-quality images with small file sizes. Premiere Elements can deploy video to a variety of media, including DVD, Blu-ray; sites like Facebook, YouTube, and Vimeo; and mobile devices. 
Licensing
If you're the licensed user, you may also use each application on a secondary computer. The secondary computer may be a home computer or portable computer and must be of the same platform. You may not run the software simultaneously on both the primary and secondary computers.
Choose Carefully
The administrative fee for this downloaded product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When your donation request has been approved, TechSoup Canada will send a message to your organization email address with instructions for obtaining and activating this product.",Adobe Unlimited,"English, French","Multimedia and Design, Audio and Video, CAD / Graphics Software",Download,"Windows, Mac",41.0,https://www.techsoup.ca/content/photoshop-elements-2022-and-premiere-elements-2022-bundle
7,G-50708,Zoom Meetings 1-Year Subscription – Access to Discounted Rates,"Description
Zoom Meetings combines video and audio conferencing, simple online meetings, and group messaging into one platform. Zoom meetings run on mobile and desktop devices and in hardware-equipped conference rooms.
This offer provides access to a 50 percent discount on a one-year subscription for a Zoom Meetings Pro or Business plan and certain add-ons with up to 99 licenses. After you request this offer and pay TechSoup Canada administrative fee, you'll also pay Zoom directly for the discounted subscription. The amount you'll pay Zoom depends on the type of subscription, number of licenses, and any add-ons you choose. See the Details and Service Costs section below for more information.
Benefits for Organizations
You can use Zoom Meetings to
Connect local and remote team members with online meetings that can be joined from any computer or mobile device
Host presentations or training with partners, donors, volunteers, and constituents
Major Capabilities
High-quality video and audio: You can stream video at up to 720p.
Screen sharing: Any participant can share a screen with the group. The host can choose to allow multiple participants to share their screens simultaneously. You can co-annotate shared screens.
Recording: You can record meetings in MP4 (video), M4A (audio), and text (chat) formats. You can save them locally or, at an extra cost for more than 1 GB, to the Zoom Cloud.
Mobile features: You can schedule, start, join, and share screens in mobile devices.
Scheduling from Outlook and Chrome: With free plug-ins, you can schedule meetings directly from Outlook Calendar or Google Calendar.
Learn more on Zoom's website.
Support
Zoom customers have 24/7/365 access to the online support center. Email, chat, or phone support are also available depending on the subscription plan.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When TechSoup Canada approves your request, we will send a message to your organization email address with instructions for obtaining and activating this product.
Details and Service Costs
System Requirements See Zoom Meetings system requirements:
PC, Mac, and Linux
iOS and Android
Start Date Your one-year subscription begins on the date the product request is approved, not the date the account is set up.

We recommend that you set up your Zoom subscription as soon as your request is approved.
Discounted Rates This offer provides access to a 50 percent discount on a one-year subscription for a Zoom Meetings Pro or Business plan and certain add-ons with up to 99 licenses. After you request this offer and pay TechSoup Canada administrative fee, you'll also pay Zoom directly for the discounted subscription. The amount you'll pay Zoom depends on the type of subscription, number of licenses, and any add-ons you choose.

This discount can't be combined with any other offer.
Add-ons and Options You can purchase the following add-ons and options at a 50 percent discount.
Zoom Rooms
Zoom Conference Room Connector
Zoom Video Webinars
Large meetings
You can add these services at any time in the subscription year to receive the 50 percent discount. Annual charges will be prorated for partial years.
One-Year Prepaid Service Contract Required You must agree to pay Zoom in advance for a one-year, nonrefundable service contract. See Zoom's terms of service.
Continuing Service After One Year To continue to receive your discount for Zoom Meetings after the initial year of your subscription, you must reconfirm your eligibility by requesting this offer again each year.

If you do not request this offer in time or are no longer eligible, Zoom will convert your subscription to the full retail price.
Existing Subscribers You can request this offer if you already have a paid Zoom subscription, but you will have to create a new Zoom account with a different email address to receive the 50 percent discount. You can't renew an existing Zoom subscription with this offer unless your subscription was originally obtained through TechSoup Canada.
Previewing Zoom Meetings Zoom offers a Basic Plan for free with unlimited meetings. The Basic Plan has a 40-minute time limit on meetings with three or more total participants.
Credit Card or PayPal Required Zoom requires a valid credit card number or PayPal account to pay for your discounted service.",Zoom,"English, French",Video Conferencing,Download,"Windows, Mac, IOS, Android",78.0,https://www.techsoup.ca/content/zoom-meetings-1-year-subscription-%E2%80%93-access-discounted-rates
8,G-48804,"Bitdefender GravityZone Business Security, 25 Devices","Description
Bitdefender GravityZone Business Security is software that protects networked laptops, desktops, servers, and virtual machines from viruses, worms, Trojan horses, spyware, adware, rootkits, and other threats. Network protection is managed through a central console.
This donation provides a one-year GravityZone Business Security subscription for up to 25 devices. Of these devices, 8 can be servers or Linux machines. The product will cease to function entirely after one year unless the subscription is renewed.
Benefits for Organizations
If you have experience with network administration, you can use Bitdefender GravityZone Business Security to reduce resource costs and centrally manage protection for your organization's network.
Major Capabilities
Management console: The console, or Control Center, is deployed as an appliance that runs in a virtualized environment. Control Center provides full visibility into the organization's overall security posture, insight into global security threats, and control over its security services. When you activate the product, you choose one of two types of console.
Cloud: Bitdefender hosts this console, and the administrator connects to it with a web browser.
On-premises: You deploy this console as an appliance that runs in a virtualized environment in your organization's own infrastructure. You should choose this type only if you have experience with virtualized environments.
Antivirus and antispyware: Security scanners can detect and clean viruses and quarantine viruses, spyware, adware, Trojans, and rootkits on all endpoints and servers.
Behavior-based protection: Security for Endpoints stops emerging threats by analyzing the behavior of a given program or process in a virtual environment before it is executed. If it is deemed safe to run, Bitdefender continues to analyze the process while it's running to identify likely threats that have not yet been reported.
Desktop firewall (Windows workstations only): The firewall prevents unauthorized users from accessing users' computers when roaming or working remotely using unsecured networks. Configuration settings include Internet blocking and access by IP address, application, port, or protocol to protect against inbound and outbound threats.
Content control (Windows workstations only): Content control allows administrators to define traffic scan options and schedule web access while blocking or allowing certain web categories or URLs. They can also configure data protection rules and define permissions for the use of specific applications.
Device control (Windows desktop and server operating systems only): Device control applies security policies to devices attached to endpoints. It prevents data leakage and malware infections that can result from using USB flash drives, Bluetooth devices, CD or DVD players, storage devices, and so on.
No Additional Devices
You cannot add protection for more devices once you have installed this product on your network. You can request a product with more devices and install it, but it will replace the product that you previously installed. You will not receive a refund for the previous product.
If your organization requires protection for more than 25 devices on a single network, TechSoup Canada also offers GravityZone Business Security for 50 devices.
Number of Devices Required Product
1 to 10 Bitdefender GravityZone Business Security, 10 Devices
11 to 25 Bitdefender GravityZone Business Security, 25 Devices
26 to 50 Bitdefender GravityZone Business Security, 50 Devices
If your organization requires protection for more than 50 devices on a single network, please contact Bitdefender directly.
Existing Subscribers
Current subscribers to GravityZone Business Security can use this donation to add another year of protection.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When TechSoup Canada approves your request, we will send a message to your organization email address with instructions for obtaining and activating this product.",Bitdefender,English,"Server & Security Software, Data Security and Privacy, Spam and Virus Protection",Download,"Windows, Mac, Linux",164.0,https://www.techsoup.ca/content/bitdefender-gravityzone-business-security-25-devices
9,G-50792,Acrobat Pro 2020 for Mac (English),"Description
Adobe Acrobat Pro 2020 is publishing software for viewing, creating, combining, and controlling Adobe PDF documents for distribution, collaboration, and data collection.
This donation provides a license that allows a single user to install and use the software. The license key provided with this product will expire on December 1, 2026. See below for additional licensing information.
Benefits for Organizations
You can use Acrobat Pro to:
Create and publish outreach materials or professional reports that combine multiple types of content
Save paper and money by creating and distributing electronic documents and forms
Ensure document accessibility for people with disabilities
Major Capabilities
Convert or scan to PDF: You can create Adobe PDF documents from any application that prints, including Microsoft Office software, web browsers like Chrome and Firefox, and Lotus Notes. PDFs can also be created from scanned paper documents and forms.
Combine and compare files: You can combine a range of file types into a single PDF document or place them into a single portfolio. Documents and portfolios can include multimedia content, including FLV or H.264 video and web pages. You can also compare two version of a PDF document to detect any differences.
Protect PDF files and documents: You can apply document controls and security with password protection; permissions for printing, copying, and changing; and digital signatures. You can also permanently remove concealed information and use redaction tools to permanently delete sensitive content.
Collect data with fillable PDF forms: You can create fillable forms from scanned paper, PDF documents, Microsoft Word documents, or Excel spreadsheets. Filled-out forms can be collected into a searchable, sortable, PDF package, and their data can be exported into a spreadsheet.
Perform collaborative document reviews: Multiple participants can conduct collaborative document reviews that allow reviewers to see one another's comments. Users of the free Acrobat Reader, as well as Acrobat, can add comments to documents.
Export PDF files: You can save entire PDF files or just selected portions of them as Microsoft Word, PowerPoint, or Excel documents, retaining layout, fonts, formatting, and tables.
Licensing
If you're the licensed user, you may also install and use the software on a secondary computer. The secondary computer may be a home computer or portable computer and must be of the same platform. You may not run the software simultaneously on both the primary and secondary computers.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When your donation request has been approved, TechSoup Canada will send a message to your organization email address with instructions for obtaining and activating this product.",Adobe,English,"Desktop Publishing, Office Suite",Download,Mac,82.0,https://www.techsoup.ca/content/acrobat-pro-2020-mac-english
