,Model_Name,Original_Price,Price_After_Sale,Processor,GPU,Memory,Hard_drive,LCD,Offer_Points,Stars
0,inspiron-15-3510,£299.00,£269.00,"""Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)""","""Intel® UHD Graphics 600""","""4 GB, 1 x 4 GB, DDR4, 2400 MHz""","""128 GB, M.2, PCIe NVMe, SSD""","""15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border""",269,3.9
1,inspiron-15-3515,£369.00,£289.00,"""AMD Athlon™ Silver 3050U Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""4 GB, 1 x 4 GB, DDR4, 2400 MHz""","""128 GB, M.2, PCIe NVMe, SSD""","""15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border""",289,3.9
2,inspiron-15-3521,£318.99,£298.99,"""Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)""","""Intel® UHD Graphics 600""","""4 GB, 1 x 4 GB, DDR4, 2400 MHz""","""128 GB, M.2, PCIe NVMe, SSD""","""15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border""",298,4.0
3,inspiron-15-3515,£449.00,£369.00,"""AMD Ryzen™ 3 3250U Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 2400 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border""",369,3.9
4,inspiron-15-3521,£419.00,£369.00,"""Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)""","""Intel® UHD Graphics 600""","""4 GB, 1 x 4 GB, DDR4, 2400 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border""",369,4.0
5,inspiron-15-3510,£429.00,£379.00,"""Intel® Pentium® Silver N5030 (4 MB cache, 4 cores, 4 threads, up to 3.10 GHz)""","""Intel® UHD Graphics 605""","""4 GB, 1 x 4 GB, DDR4, 2400 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border""",379,3.9
6,inspiron-15-3515,£498.99,£448.99,"""AMD Ryzen™ 5 3450U Mobile Processor with Radeon™ Vega 8 Graphics""","""AMD® Radeon™ Vega 8 Graphics""","""8 GB, 1 x 8 GB, DDR4, 2400 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border""",448,3.9
7,inspiron-14-5415,£579.00,£479.00,"""AMD Ryzen™ 5 5500U 6-core/12-thread Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Non-Touch, AG, Wide Viewing Angle, LED-Backlit, Narrow Border""",479,4.2
8,inspiron-15-3525,£549.00,£519.00,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 120Hz, Non-Touch, AG, WVA, LED-Backlit, 250 nit, Narrow Border""",519,4.3
9,inspiron-15-5515,£579.00,£529.00,"""AMD Ryzen™ 5 5500U 6-core/12-thread Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",529,4.3
10,inspiron-14-5425,£599.01,£529.01,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",529,4.2
11,inspiron-15-3525,£562.80,£538.80,"""AMD Ryzen™ 3 5425U 4-core/8-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 120Hz, Non-Touch, AG, WVA, LED-Backlit, 250 nit, Narrow Border""",538,4.3
12,inspiron-15-3511,£579.00,£539.00,"""11th Gen Intel® Core™ i5-1135G7 (8 MB cache, 4 cores, 8 threads, up to 4.20 GHz Turbo)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 2666 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",539,3.9
13,inspiron-14-5415,£629.00,£549.00,"""AMD Ryzen™ 5 5500U 6-core/12-thread Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Non-Touch, AG, Wide Viewing Angle, LED-Backlit, Narrow Border""",549,4.2
14,inspiron-15-3525,£599.00,£549.00,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 120Hz, Non-Touch, AG, WVA, LED-Backlit, 250 nit, Narrow Border""",549,4.3
15,inspiron-15-3511,£579.00,£549.00,"""11th Gen Intel® Core™ i5-1135G7 (8 MB cache, 4 cores, 8 threads, up to 4.20 GHz Turbo)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 2666 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",549,3.9
16,inspiron-16-5625,£618.99,£568.99,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",568,4.1
17,inspiron-14-5425,£649.00,£579.00,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",579,4.2
18,inspiron-14-7415-2-in-1,£648.99,£598.99,"""AMD Ryzen™ 5 5500U Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",598,4.3
19,inspiron-14-7415-2-in-1,£699.00,£599.00,"""AMD Ryzen™ 5 5500U Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",599,4.3
20,inspiron-15-3511,£599.00,Nan,"""10th Gen Intel® Core™ i5-1035G1 (6 MB cache, 4 cores, 8 threads, up to 3.60 GHz Turbo)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 2666 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",599,3.9
21,inspiron-14-5425,£670.80,£610.80,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",610,4.2
22,inspiron-14-5410-2-in-1,£699.00,£619.00,"""11th Gen Intel® Core™ i5-1155G7 (8 MB cache, 4 cores, 8 threads, up to 4.50 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",619,4.1
23,inspiron-14-5420,£649.00,£619.00,"""12th Generation Intel® Core™ i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",619,4.0
24,inspiron-14-5420,£649.00,£619.00,"""12th Generation Intel® Core™ i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",619,4.0
