,name,avg_viewers,time_streamed,all_time_peak_viewers,hours_watched,rank,follower_gained,total_followers,total_views
0,AMINEMATUE,34459,57.7,1155060,1990000.0,26,19700.0,2760000.0,14900000.0
1,KAMET0,19279,164.8,419458,3180000.0,28,5500.0,1890000.0,108000000
2,OTPLOL_,5954,718.8,204072,4280000.0,31,4300.0,741000,100000000.0
3,SQUEEZIE,28164,42.3,1340960,1190000.0,49,23700.0,5070000.0,66700000.0
4,JLTOMY,13935,145.9,261719,2029999.9999999998,61,9000.0,1270000.0,50300000.0
5,PAULETA_TWITCH,4394,574.0,42305,2520000.0,79,10300.0,627000,4530000.0
6,OMOFFICIAL,22160,6.7,76063,148000.0,109,31400.0,323000,9520000.0
7,KIDLONNI,16939,28.6,39052,485000.0,115,50000.0,197000,--
8,ZERATOR,8767,105.5,707071,924000.0,146,270.0,1560000.0,156000000
9,MASTERSNAKOU,6848,124.6,23357,853000.0,172,8600.0,708000,33800000.0
10,JEANMASSIET,9213,68.9,86784,635000.0,173,10000.0,252000,11500000.0
11,LOCKLEAR,7592,96.8,58905,735000.0,179,12200.0,2230000.0,64700000.0
12,WANKILSTUDIO,7384,94.5,32755,698000.0,192,12000.0,1270000.0,25500000.0
13,NIKOF,8861,50.0,49971,443000.0,213,4800.0,661000,9460000.0
14,SAMUELETIENNE,4872,160.3,84968,781000.0,218,39000.0,843000,9950000.0
15,BYILHANN,7798,64.9,27641,506000.0,221,54500.0,560000,--
16,GOTAGA,8781,40.5,405271,355000.0,249,4500.0,4350000.0,185000000
17,JOUEUR_DU_GRENIER,8089,51.3,181902,415000.0,250,2700.0,981000,22400000.0
18,ETOILES,5496,112.3,242237,617000.0,268,2100.0,1100000.0,44500000.0
19,TIKYJR,5137,126.4,34425,649000.0,269,2700.0,194000,513000
20,JOLAVANILLE,5225,119.7,26292,625000.0,279,9700.0,667000,15400000.0
21,CLEMOVITCH,8663,31.9,19407,276000.0,289,10600.0,124000,--
22,ANTOINEDANIEL,7236,50.5,74618,365000.0,305,102.0,1030000.0,37300000.0
23,DANYETRAZ,6823,53.0,15769,361000.0,318,6400.0,76900.0,2530000.0
24,DOMINGO,6285,60.3,204966,379000.0,329,2300.0,1790000.0,121000000
25,MISTERMV,6381,57.8,80340,369000.0,332,1200.0,885000,86100000.0
26,SARDOCHE,3006,217.9,146958,655000.0,341,3000.0,1250000.0,120000000
27,TRASHTALKFR,8958,8.8,28295,79100.0,352,1800.0,103000,643000
28,TOBIAS,4309,110.1,12160,474000.0,368,24100.0,455000,2280000.0
29,DOIGBY,7868,18.9,297748,149000.0,371,17400.0,1820000.0,31700000.0
30,SOLARYHS,1056,713.4,20855,753000.0,383,366.0,204000,57100000.0
31,PAPESAN,5093,74.5,32507,379000.0,387,11400.0,449000,741000
32,DVM_MEDJA,4113,90.5,59867,372000.0,445,20000.0,394000,6770000.0
33,CHOWH1,3533,120.0,59343,424000.0,447,934.0,809000,30400000.0
34,PONCE,3214,139.7,102442,449000.0,450,117.0,790000,60700000.0
35,WADELYTB,2082,262.4,6077,546000.0,455,39100.0,268000,--
36,VALORANT_FR,3561,114.2,18907,407000.0,461,8900.0,222000,8210000.000000001
37,TRAYTONLOL,3032,142.8,30487,433000.0,479,1600.0,205000,6130000.0
38,ALTAIR,2548,181.3,11981,462000.0,496,914.0,110000,14200000.0
39,FINALFANTASYXIV,7117,5.8,110317,41400.0,500,3100.0,351000,12000000.0
40,TONTON,2760,157.1,43194,434000.0,504,919.0,482000,37200000.0
41,HELYDIA,4713,52.5,24126,247000.0,509,56700.0,538000,--
42,MALCOLM__SERIE,2063,236.9,3845,489000.0,510,27900.0,27900.0,--
43,FUGU_FPS,4200,63.0,37301,265000.0,550,33100.0,534000,696000
44,SHISHEYU,2832,122.9,14233,348000.0,596,387.0,136000,7750000.0
